order_id,customer_id,order_date,status,total_amount
1,356,2026-03-01,Cancelled,3561
2,79,2026-03-08,Cancelled,55866
3,291,2025-10-29,Completed,67408
4,414,2026-02-02,Completed,22487
5,491,2026-01-03,Processing,106617
6,87,2026-04-21,Completed,137007
7,161,2026-04-03,Completed,25698
8,403,2025-09-01,Completed,16806
9,365,2025-07-24,Processing,17829
10,142,2025-07-14,Completed,14337
11,69,2025-07-14,Completed,80542
12,450,2026-03-10,Processing,20098
13,237,2026-05-21,Processing,94199
14,184,2026-03-11,Completed,101490
15,250,2025-07-24,Cancelled,28866
16,56,2025-10-24,Completed,90192
17,331,2026-04-20,Cancelled,93094
18,42,2026-05-27,Completed,40642
19,440,2026-01-09,Completed,168959
20,457,2025-06-12,Cancelled,107283
21,101,2025-07-04,Completed,94669
22,376,2025-12-25,Completed,98949
23,373,2026-04-18,Completed,4824
24,457,2026-06-05,Completed,193810
25,435,2025-10-06,Cancelled,51091
26,324,2025-10-23,Completed,200845
27,417,2026-02-15,Cancelled,44347
28,297,2026-03-30,Processing,80192
29,394,2025-12-19,Cancelled,112728
30,109,2026-01-18,Completed,49458
31,283,2025-09-01,Completed,19648
32,279,2025-11-03,Cancelled,106329
33,242,2025-12-26,Completed,109063
34,188,2025-11-27,Processing,49179
35,115,2025-08-03,Cancelled,96742
36,376,2026-05-23,Completed,93345
37,69,2026-04-14,Processing,30395
38,257,2025-12-11,Cancelled,14622
39,47,2025-11-25,Processing,14680
40,187,2026-01-18,Cancelled,43466
41,6,2025-08-04,Completed,18364
42,435,2026-02-10,Cancelled,141585
43,351,2026-04-01,Completed,59636
44,388,2026-02-24,Cancelled,76167
45,72,2026-01-17,Processing,127420
46,82,2025-10-03,Completed,50766
47,290,2026-06-09,Cancelled,72056
48,338,2025-07-27,Completed,89402
49,377,2026-06-11,Processing,105056
50,481,2026-02-25,Completed,127546
51,21,2025-12-04,Completed,110901
52,390,2026-04-11,Processing,1430
53,119,2025-12-10,Completed,50422
54,136,2026-02-24,Completed,86372
55,120,2025-10-27,Completed,198545
56,343,2026-06-06,Completed,44022
57,266,2025-10-11,Completed,49718
58,199,2026-04-11,Processing,88412
59,470,2025-08-28,Processing,168289
60,452,2026-03-07,Completed,82054
61,21,2026-04-04,Completed,115043
62,53,2026-02-23,Cancelled,28967
63,325,2025-07-01,Completed,17413
64,428,2026-04-24,Completed,142436
65,297,2025-08-16,Cancelled,126838
66,292,2025-12-07,Completed,142752
67,193,2025-11-02,Processing,178906
68,188,2026-06-07,Cancelled,75216
69,335,2026-02-08,Completed,83884
70,265,2026-04-18,Completed,8467
71,193,2026-06-09,Completed,173997
72,265,2025-12-29,Processing,12824
73,181,2025-10-13,Completed,82485
74,250,2026-02-15,Processing,47492
75,455,2026-06-09,Cancelled,31138
76,4,2026-03-16,Cancelled,47463
77,452,2025-11-02,Completed,5867
78,226,2025-12-22,Completed,123348
79,118,2025-09-23,Completed,20890
80,264,2026-02-21,Completed,79769
81,109,2025-08-22,Completed,33319
82,96,2026-04-21,Completed,104339
