product_id,name,category,price,stock
1,Смартфон Apple iPhone 15 Pro (Модель 45),Электроника,16349,57
2,Джинсы классические Straight (Модель 96),Одежда,48840,139
3,Робот-пылесос Roborock Q7 (Модель 64),Электроника,2382,7
4,Ноутбук ASUS Vivobook 15 (Модель 39),Электроника,33418,6
5,Сыворотка с гиалуроновой кислотой (Модель 93),Красота,46262,139
6,Термокружка из нержавейки (Модель 67),Дом и сад,38918,71
7,Умные часы Xiaomi Redmi Watch (Модель 99),Электроника,27996,87
8,Чистый код (Роберт Мартин) (Модель 37),Книги,22359,26
9,"Монитор LG UltraGear 27"" (Модель 22)",Электроника,23826,88
10,Маска для волос питательная (Модель 15),Красота,48123,117
11,Шампунь бессульфатный восстанавливающий (Модель 58),Красота,5464,141
12,Паттерны проектирования (GoF) (Модель 56),Книги,38137,49
13,Смартфон Apple iPhone 15 Pro (Модель 94),Электроника,15235,74
14,Ноутбук ASUS Vivobook 15 (Модель 22),Электроника,25211,71
15,Садовый секатор профессиональный (Модель 30),Дом и сад,24560,90
16,Спортивные штаны Nike (Модель 99),Одежда,45096,18
17,Парфюмерная вода мужская 50мл (Модель 78),Красота,48084,62
18,Носки спортивные (комплект 5 пар) (Модель 58),Одежда,17991,142
19,Кроссовки беговые повседневные (Модель 17),Одежда,15310,8
20,Думай медленно... решай быстро (Даниэль Канеман) (Модель 44),Книги,4637,54
21,Электрическая зубная щетка (Модель 37),Красота,43254,127
22,Плед флисовый уютный (Модель 28),Дом и сад,17659,35
23,Кепка однотонная базовая (Модель 78),Одежда,17519,149
24,Шторы блэкаут на люверсах (Модель 61),Дом и сад,24023,56
25,Кепка однотонная базовая (Модель 73),Одежда,6257,12
26,Умные часы Xiaomi Redmi Watch (Модель 90),Электроника,10784,108
27,Шампунь бессульфатный восстанавливающий (Модель 59),Красота,25309,119
28,Маска для волос питательная (Модель 80),Красота,1052,29
29,Маска для волос питательная (Модель 92),Красота,22593,28
30,Думай медленно... решай быстро (Даниэль Канеман) (Модель 30),Книги,30035,0
31,"Богатый папа, бедный папа (Модель 32)",Книги,33571,27
32,"Богатый папа, бедный папа (Модель 87)",Книги,13335,39
33,Чистый код (Роберт Мартин) (Модель 79),Книги,35057,0
34,Электрическая зубная щетка (Модель 72),Красота,1576,28
35,Совершенный код (Стив Макконнелл) (Модель 40),Книги,4096,61
36,Шампунь бессульфатный восстанавливающий (Модель 20),Красота,48266,124
37,Внешний аккумулятор Xiaomi Power Bank (Модель 26),Электроника,8714,121
38,Парфюмерная вода мужская 50мл (Модель 43),Красота,34881,108
39,Кепка однотонная базовая (Модель 98),Одежда,13482,79
40,Садовый секатор профессиональный (Модель 66),Дом и сад,34219,115
41,Ноутбук ASUS Vivobook 15 (Модель 38),Электроника,4496,86
42,Робот-пылесос Roborock Q7 (Модель 80),Электроника,15380,150
43,Футболка хлопковая OverSize (Модель 19),Одежда,46689,15
44,Джинсы классические Straight (Модель 14),Одежда,21954,18
45,Сыворотка с гиалуроновой кислотой (Модель 45),Красота,44142,124
46,Кепка однотонная базовая (Модель 26),Одежда,47705,146
47,Масло для бороды и усов (Модель 41),Красота,31296,104
48,Джинсы классические Straight (Модель 22),Одежда,43487,110
49,Думай медленно... решай быстро (Даниэль Канеман) (Модель 62),Книги,30906,13
50,Смартфон Apple iPhone 15 Pro (Модель 61),Электроника,48024,86
51,Ноутбук ASUS Vivobook 15 (Модель 34),Электроника,12765,137
52,Ортопедическая подушка (Модель 64),Дом и сад,12325,71
53,Термокружка из нержавейки (Модель 19),Дом и сад,29341,140
54,Смартфон Apple iPhone 15 Pro (Модель 93),Электроника,35727,3
55,Ноутбук ASUS Vivobook 15 (Модель 31),Электроника,26934,124
56,Термокружка из нержавейки (Модель 61),Дом и сад,4142,42
57,Набор кухонных ножей из стали (Модель 59),Дом и сад,17680,116
58,Думай медленно... решай быстро (Даниэль Канеман) (Модель 99),Книги,48174,142
59,Ортопедическая подушка (Модель 34),Дом и сад,19745,55
60,Робот-пылесос Roborock Q7 (Модель 79),Электроника,4294,80
61,Смартфон Apple iPhone 15 Pro (Модель 84),Электроника,31546,128
