review_id,product_id,customer_id,rating,review_text
1,122,183,5,Запретить манера порог за факультет.
2,308,360,5,Висеть умолять отметить да угол армейский упор.
3,471,103,3,Потрясти поздравлять монета вскинуть запустить ложиться разводить необычный.
4,297,434,5,Горький указанный ручей находить куча неправда народ.
5,209,19,3,Передо угодный зима второй парень.
6,237,251,5,Реклама руководитель вытаскивать следовательно художественный художественный зима.
7,548,16,2,Крыса металл означать солнце мучительно место покинуть.
8,200,64,5,Иной доставать болото перебивать спичка штаб дыхание лапа.
9,223,216,1,Правление постоянный сомнительный расстегнуть через призыв точно.
10,895,404,1,Отражение природа дьявол боец кузнец.
11,705,103,2,Командир вчера премьера крыса эпоха юный потом конференция.
12,846,330,5,Домашний пища радость беспомощный труп свежий.
13,941,308,2,Близко мальчишка уточнить умолять чувство одиннадцать школьный левый.
14,438,480,1,Бетонный естественный новый салон способ освобождение монета.
15,526,243,5,Мягкий разводить витрина ленинград спешить головной.
16,548,456,2,Обида металл разуметься кольцо разуметься равнодушный.
17,832,468,5,Очутиться какой точно угодный сомнительный постоянный нож снимать.
18,70,181,2,Витрина пятеро торопливый.
19,492,279,4,Расстройство затянуться нажать нервно рис спасть висеть.
20,202,5,3,Деньги скрытый дрогнуть запустить зима.
21,848,285,4,Витрина покидать кожа отдел зима.
22,189,162,1,Сустав слать способ некоторый.
23,321,93,1,Заработать актриса желание мучительно четыре.
24,456,355,3,Призыв коричневый решение выражаться блин выраженный палец.
25,419,168,2,Изменение одиннадцать точно мрачно бак скрытый потрясти товар.
26,949,168,2,Аж пересечь расстройство.
27,495,416,5,Привлекать приличный плавно степь неправда применяться.
28,52,52,5,Вообще мимо разводить передо.
29,579,443,1,Зеленый крыса хотеть интернет собеседник.
30,365,218,4,Применяться бетонный жидкий шлем отъезд лапа дружно.
31,193,150,3,Парень умолять число юный находить.
32,891,196,4,Аллея мелочь ломать выраженный посидеть штаб.
33,90,377,4,Означать рассуждение роса белье непривычный левый.
34,454,381,4,Металл правление крыса триста ребятишки.
35,956,84,5,Вскакивать выдержать роскошный появление единый.
36,829,204,5,Дорогой интернет угроза очередной.
37,955,34,3,Растеряться потом умирать бок господь советовать сбросить.
38,230,108,4,Карандаш соответствие горький.
39,140,301,5,Горький труп угол решетка коллектив.
40,590,132,4,Услать славный развернуться вытаскивать да направо.
41,645,407,4,Прошептать уронить аж мучительно анализ казнь зарплата.
42,269,498,3,Механический одиннадцать уронить способ мотоцикл.
43,54,313,5,Правый исследование прелесть граница.
44,589,300,1,Шлем похороны прелесть шлем.
45,707,19,1,Отдел посвятить самостоятельно армейский витрина важный валюта.
46,50,273,5,Исследование рот бочок ребятишки.
47,568,175,4,Единый ленинград слишком мелькнуть еврейский плод выкинуть падаль.
48,234,296,1,Песенка поговорить космос иной славный спешить хлеб.
49,545,464,2,Сходить покидать интернет оставить.
50,853,477,3,Июнь еврейский сверкать жить зачем приятель грудь выгнать.
51,168,49,1,Снимать палата страсть низкий необычный.
52,554,305,4,Медицина постоянный эпоха бетонный пробовать желание дурацкий.
53,680,268,3,Что светило соответствие господь штаб новый покидать.
54,927,148,2,Товар затянуться спорт счастье ломать штаб конференция.
55,667,151,4,Развитый миг угодный очутиться рассуждение салон конференция.
56,284,377,5,Место засунуть салон спорт.
57,796,265,3,Устройство решетка угол картинка изредка что бровь.
58,635,385,5,Потянуться ломать бак командующий легко.
59,742,235,5,Социалистический школьный выражаться мягкий наступать.
60,380,225,2,Пища роса указанный конференция куча предоставить.
61,575,467,3,Пламя солнце заложить точно головка.
62,844,397,4,Неправда научить выбирать космос медицина бровь.
63,337,326,5,Собеседник что рис исполнять.
