order_id,product_id,quantity,price_at_order
1,360,1,46172.36
1,560,2,20341.73
1,385,3,25763.61
2,463,1,30882.81
3,327,2,46970.94
4,910,1,41352.05
4,385,3,25763.61
5,96,3,16877.76
5,347,2,23064.71
5,609,3,20030.63
6,622,2,19363.65
6,912,1,40275.6
7,195,2,44051.9
8,554,2,25019.3
8,272,2,38844.56
8,677,1,16714.07
9,861,1,21289.0
9,503,1,19327.86
10,844,3,3447.54
11,27,1,13358.26
12,485,2,46688.54
12,865,2,49649.13
12,119,2,45005.39
13,658,3,46831.03
14,379,1,17242.53
14,192,2,30633.49
14,457,2,46544.45
15,578,3,8774.45
15,64,3,43109.05
15,155,1,29328.75
16,424,3,30607.33
16,995,1,49124.27
16,775,3,33970.35
17,429,3,7773.55
17,989,2,9014.98
17,549,3,13593.34
18,405,3,17663.95
19,820,3,37912.28
19,586,1,15893.5
19,694,1,10050.73
20,172,1,1842.19
21,81,3,46754.9
22,152,2,7894.42
22,855,2,45218.87
22,610,3,48117.93
23,570,2,16599.9
24,470,1,36011.65
25,801,1,23055.67
25,430,2,7328.99
26,777,1,11333.45
26,988,1,18034.23
27,889,2,19719.36
27,549,2,13593.34
28,624,1,13299.19
28,485,1,46688.54
29,698,2,8661.21
29,711,1,26361.95
30,244,3,49848.19
30,51,2,27829.9
31,346,2,47287.16
31,838,2,20886.99
32,702,1,617.28
32,101,1,18423.18
32,996,2,35535.6
33,329,3,42815.87
33,276,2,16800.14
34,217,2,31583.45
35,383,1,22322.71
35,841,3,47527.63
36,519,1,18236.56
36,414,3,17791.53
37,897,1,18781.91
38,52,2,3828.36
39,476,2,19528.0
39,518,3,39665.66
40,382,2,31006.56
41,486,2,27288.63
41,601,2,11871.98
41,565,1,18847.96
42,706,2,24546.36
42,93,1,17341.15
43,799,1,15876.18
43,989,3,9014.98
43,220,1,29927.5
44,526,3,43934.62
44,21,1,23274.33
45,616,1,9554.09
45,821,1,11161.53
46,730,3,22023.29
46,991,2,42582.62
