order_id,customer_id,order_date,status
1,64,2024-07-18,новый
2,157,2026-06-08,оплачен
3,464,2026-04-21,доставлен
4,428,2025-09-09,оплачен
5,437,2025-05-25,новый
6,38,2026-05-09,оплачен
7,372,2025-06-26,доставлен
8,146,2026-04-12,доставлен
9,157,2026-03-13,доставлен
10,414,2025-03-15,отгружен
11,365,2026-01-01,доставлен
12,376,2025-05-29,отгружен
13,283,2025-03-27,оплачен
14,457,2026-03-13,доставлен
15,40,2025-08-04,доставлен
16,208,2025-07-04,доставлен
17,134,2025-08-15,доставлен
18,115,2025-09-22,доставлен
19,257,2025-10-11,доставлен
20,435,2026-03-18,доставлен
21,82,2026-03-15,оплачен
22,248,2026-05-09,доставлен
23,119,2024-09-01,новый
24,465,2026-04-04,доставлен
25,333,2025-12-18,отгружен
26,135,2025-07-22,доставлен
27,301,2025-04-05,доставлен
28,181,2026-02-13,доставлен
29,257,2024-03-27,доставлен
30,144,2025-11-20,оплачен
31,368,2026-06-09,доставлен
32,59,2025-09-23,отгружен
33,427,2026-04-11,отгружен
34,304,2025-12-10,оплачен
35,29,2026-04-26,оплачен
36,10,2025-06-23,доставлен
37,230,2025-07-11,доставлен
38,308,2026-06-03,оплачен
39,262,2026-04-10,оплачен
40,303,2026-04-25,новый
41,268,2026-05-18,доставлен
42,50,2026-02-09,оплачен
43,48,2026-05-24,отгружен
44,424,2026-04-17,новый
45,448,2025-08-25,новый
46,180,2025-10-22,доставлен
47,51,2024-03-26,отгружен
48,466,2025-06-29,доставлен
49,210,2025-08-15,оплачен
50,296,2025-09-08,доставлен
51,412,2025-05-10,отгружен
52,130,2026-03-31,оплачен
53,349,2026-05-01,отгружен
54,248,2026-05-14,оплачен
55,177,2025-02-25,доставлен
56,383,2025-12-20,оплачен
57,261,2026-05-18,отгружен
58,362,2026-05-08,новый
59,242,2025-09-01,доставлен
60,41,2026-02-02,доставлен
61,267,2026-04-08,оплачен
62,225,2025-09-27,новый
63,402,2026-01-06,доставлен
64,19,2024-01-01,отгружен
65,400,2026-04-03,отгружен
66,8,2026-02-21,доставлен
67,146,2026-05-09,доставлен
68,116,2025-02-13,доставлен
69,295,2025-09-20,новый
70,287,2026-01-09,новый
71,412,2025-01-30,доставлен
72,129,2026-04-14,доставлен
73,349,2026-06-09,отгружен
74,35,2026-04-15,отгружен
75,410,2026-05-27,отгружен
76,148,2026-05-25,новый
77,477,2026-05-03,оплачен
78,94,2024-08-30,доставлен
79,103,2025-12-12,оплачен
80,118,2026-04-26,оплачен
81,80,2026-05-09,доставлен
82,490,2026-05-30,доставлен
83,435,2025-04-11,отгружен
84,252,2026-05-17,оплачен
85,385,2026-01-21,доставлен
86,245,2026-01-03,доставлен
87,441,2025-10-21,доставлен
88,358,2025-10-04,доставлен
89,195,2025-01-10,доставлен
90,281,2026-05-28,оплачен
91,176,2025-09-10,отгружен
92,187,2024-10-25,доставлен
93,68,2024-04-30,доставлен
94,412,2025-03-16,оплачен
95,77,2025-09-21,отгружен
96,69,2025-10-11,доставлен
97,129,2025-10-29,доставлен
98,31,2026-05-01,оплачен
99,50,2025-11-13,отгружен
100,478,2026-04-13,доставлен
101,494,2026-02-01,доставлен
102,400,2026-04-18,оплачен
103,456,2026-03-26,новый
104,328,2025-09-09,доставлен
105,435,2025-03-29,доставлен
106,161,2025-11-26,отгружен
107,331,2026-03-25,отгружен
108,267,2026-05-13,доставлен
109,373,2026-02-23,оплачен
110,384,2025-10-05,новый
111,33,2025-04-14,доставлен
112,392,2025-04-06,доставлен
113,44,2024-04-21,доставлен
114,321,2024-08-02,оплачен
115,183,2025-08-21,доставлен
116,281,2024-07-20,отгружен
117,324,2025-03-19,доставлен
118,466,2025-09-03,отгружен
119,188,2025-10-10,отгружен
120,268,2026-04-12,доставлен
121,473,2024-07-01,отгружен
122,306,2024-12-22,оплачен
123,211,2026-04-30,доставлен
124,331,2025-09-12,отгружен
125,123,2024-08-10,доставлен
126,140,2024-02-08,оплачен
127,437,2026-02-09,новый
128,234,2026-03-07,доставлен
129,97,2025-06-26,отгружен
130,12,2025-11-20,оплачен
131,367,2025-06-18,отгружен
132,8,2026-02-24,отгружен
133,238,2025-01-25,доставлен
134,29,2024-09-21,оплачен
135,459,2026-03-28,доставлен
136,395,2024-06-20,доставлен
137,236,2026-01-10,доставлен
138,243,2025-12-28,отгружен
139,382,2025-12-28,доставлен
140,102,2024-07-09,отгружен
141,499,2025-07-25,оплачен
142,300,2026-06-09,оплачен
143,402,2024-10-08,доставлен
144,81,2026-05-07,отгружен
145,31,2026-04-24,отгружен
146,65,2025-06-06,отгружен
147,413,2025-08-21,доставлен
148,371,2024-06-09,оплачен
149,357,2025-05-30,отгружен
150,240,2026-06-09,оплачен
151,80,2025-11-10,отгружен
152,195,2024-10-16,доставлен
153,370,2026-03-17,новый
154,393,2026-06-09,доставлен
155,57,2026-06-04,новый
156,448,2026-01-16,новый
157,17,2026-06-09,доставлен
158,132,2024-08-13,новый
159,7,2026-01-14,доставлен
160,240,2025-03-13,доставлен
161,481,2024-05-14,доставлен
162,21,2025-07-14,доставлен
163,372,2025-01-10,оплачен
164,292,2026-04-05,доставлен
165,213,2026-04-14,доставлен
166,360,2025-09-06,доставлен
167,173,2025-04-25,доставлен
168,282,2025-02-22,доставлен
169,423,2025-08-22,доставлен
170,393,2026-02-18,доставлен
171,492,2026-01-29,отгружен
172,70,2026-05-16,доставлен
173,12,2025-07-11,доставлен
174,293,2025-07-01,доставлен
175,183,2024-03-19,оплачен
176,128,2024-12-21,оплачен
177,40,2025-03-03,доставлен
178,296,2026-01-30,доставлен
179,20,2026-01-30,доставлен
180,179,2026-06-08,доставлен
181,383,2026-01-02,доставлен
182,28,2026-03-04,отгружен
183,77,2024-07-01,отгружен
184,202,2026-02-07,доставлен
185,222,2025-06-30,оплачен
186,293,2025-04-19,доставлен
187,223,2025-03-25,доставлен
188,287,2026-04-16,оплачен
189,377,2026-03-15,доставлен
190,166,2026-05-04,доставлен
191,188,2025-06-29,отгружен
192,87,2026-06-04,доставлен
193,226,2026-03-24,новый
194,58,2026-05-10,доставлен
195,445,2026-04-27,доставлен
196,412,2025-09-22,оплачен
197,276,2026-06-05,оплачен
198,319,2026-02-10,доставлен
199,10,2025-02-20,отгружен
200,103,2025-04-02,доставлен
201,35,2026-05-16,отгружен
202,185,2026-06-09,доставлен
203,198,2025-04-19,оплачен
204,444,2026-05-28,доставлен
205,495,2026-06-08,отгружен
206,251,2025-11-01,отгружен
207,181,2026-05-01,отгружен
208,132,2025-10-05,доставлен
209,78,2026-04-11,отгружен
210,267,2025-05-08,доставлен
211,124,2025-05-14,доставлен
212,230,2025-05-22,доставлен
213,278,2024-12-22,доставлен
214,353,2024-03-09,доставлен
215,478,2026-04-01,доставлен
216,273,2026-03-09,доставлен
217,373,2025-08-17,новый
218,227,2025-11-08,доставлен
219,55,2024-09-06,оплачен
220,137,2026-05-24,доставлен
221,14,2025-12-10,отгружен
222,241,2025-11-08,доставлен
223,71,2026-04-06,оплачен
224,474,2025-10-21,оплачен
225,34,2026-05-14,оплачен
226,444,2025-12-25,отгружен
227,312,2026-04-15,доставлен
228,293,2026-04-18,доставлен
229,56,2025-12-09,отгружен
230,377,2026-02-23,новый
231,150,2025-06-28,отгружен
232,151,2025-12-23,доставлен
233,238,2026-01-23,доставлен
234,399,2025-11-19,доставлен
235,13,2025-03-14,оплачен
236,47,2026-06-06,оплачен
237,376,2025-10-19,оплачен
238,186,2024-05-16,новый
239,487,2025-05-03,оплачен
240,290,2025-12-16,доставлен
241,215,2025-12-17,отгружен
242,93,2025-03-13,оплачен
243,319,2026-03-25,доставлен
244,279,2025-03-11,доставлен
245,338,2026-04-06,отгружен
246,126,2024-01-16,доставлен
247,420,2026-04-13,доставлен
248,335,2026-03-28,отгружен
249,296,2025-06-30,доставлен
250,26,2026-06-07,оплачен
251,359,2026-03-06,доставлен
252,297,2026-05-31,отгружен
253,166,2026-06-01,отгружен
254,34,2025-12-29,оплачен
255,169,2026-06-04,доставлен
256,56,2025-05-21,доставлен
257,479,2025-10-08,доставлен
258,270,2024-12-15,доставлен
259,255,2026-01-17,доставлен
260,120,2026-02-15,доставлен
261,378,2026-02-21,доставлен
262,180,2026-03-19,доставлен
263,145,2024-03-01,оплачен
264,282,2024-03-26,отгружен
265,175,2026-05-22,отгружен
266,170,2025-12-20,доставлен
267,247,2025-11-22,оплачен
268,402,2026-04-22,доставлен
269,348,2026-06-08,отгружен
270,410,2026-04-25,доставлен
271,431,2026-05-21,новый
272,200,2025-12-01,оплачен
273,362,2025-09-14,доставлен
274,450,2025-10-07,оплачен
275,155,2026-06-07,оплачен
276,228,2026-06-03,доставлен
277,175,2026-04-27,доставлен
278,394,2026-05-06,доставлен
279,19,2024-08-27,отгружен
280,478,2026-02-05,новый
281,267,2025-06-02,доставлен
282,457,2026-01-19,оплачен
283,273,2026-04-03,отгружен
284,141,2025-02-23,оплачен
285,282,2024-05-15,отгружен
286,294,2026-06-04,оплачен
287,277,2025-09-18,отгружен
288,26,2024-10-28,оплачен
289,92,2025-06-21,доставлен
290,183,2025-04-09,отгружен
291,291,2026-04-27,оплачен
292,351,2026-01-23,доставлен
293,441,2026-05-12,доставлен
294,94,2024-11-12,доставлен
295,250,2026-05-07,новый
296,145,2024-08-09,доставлен
297,419,2025-12-01,доставлен
298,37,2026-04-24,доставлен
299,318,2026-06-02,оплачен
300,34,2025-12-25,отгружен
301,279,2026-06-07,доставлен
302,379,2025-07-03,доставлен
303,238,2025-03-07,отгружен
304,158,2026-03-17,доставлен
305,417,2026-03-24,доставлен
306,112,2024-03-25,доставлен
307,77,2025-07-19,отгружен
308,229,2026-06-04,оплачен
309,156,2026-06-01,доставлен
310,314,2026-06-07,доставлен
311,190,2026-06-09,доставлен
312,444,2026-01-21,новый
313,365,2026-02-05,отгружен
314,244,2026-05-28,оплачен
315,79,2025-06-20,оплачен
316,74,2025-12-13,доставлен
317,71,2026-04-01,доставлен
318,477,2025-11-22,отгружен
319,283,2024-12-07,доставлен
320,4,2026-04-25,доставлен
321,296,2024-09-02,отгружен
322,247,2025-09-09,доставлен
323,270,2024-07-03,доставлен
324,456,2026-04-12,доставлен
325,340,2026-05-28,доставлен
326,409,2024-08-06,доставлен
327,241,2025-07-04,отгружен
328,149,2026-03-29,оплачен
329,402,2025-04-26,доставлен
330,87,2025-07-26,доставлен
331,14,2025-01-06,оплачен
332,436,2026-02-16,доставлен
333,141,2026-04-25,доставлен
334,90,2026-06-05,доставлен
335,134,2024-08-29,доставлен
336,442,2025-12-30,новый
337,395,2023-12-10,отгружен
338,296,2025-09-27,доставлен
339,86,2025-10-30,отгружен
340,195,2024-10-12,доставлен
341,7,2025-07-05,оплачен
342,350,2026-06-08,доставлен
343,182,2025-07-14,доставлен
344,139,2025-02-28,оплачен
345,201,2025-09-08,отгружен
346,395,2024-03-19,оплачен
347,6,2026-02-11,доставлен
348,229,2026-06-09,отгружен
349,318,2026-06-07,новый
350,63,2024-08-06,доставлен
351,67,2024-07-30,отгружен
352,357,2026-02-16,оплачен
353,328,2023-11-30,отгружен
354,83,2025-11-20,доставлен
355,199,2026-02-14,отгружен
356,92,2025-09-03,отгружен
357,92,2025-04-23,доставлен
358,112,2025-03-21,доставлен
359,133,2026-02-23,оплачен
360,129,2024-10-16,доставлен
361,335,2026-04-11,доставлен
362,464,2026-05-05,отгружен
363,245,2024-11-15,отгружен
364,2,2026-03-07,отгружен
365,275,2025-01-09,доставлен
366,324,2024-09-09,доставлен
367,431,2026-06-04,отгружен
368,21,2024-06-07,доставлен
369,323,2026-06-04,доставлен
370,98,2025-10-07,оплачен
371,123,2025-07-05,отгружен
372,158,2025-11-23,отгружен
373,29,2025-10-23,отгружен
374,342,2025-02-14,доставлен
375,120,2025-01-28,доставлен
376,335,2026-05-21,новый
377,8,2026-04-20,оплачен
378,234,2026-02-17,доставлен
379,410,2026-05-27,доставлен
