review_id,customer_id,product_id,rating,text,review_date
1,376,709,4,"Хороший товар, рекомендую.",2024-12-05
2,462,439,3,"Нормально, сойдет.",2025-01-31
3,187,956,5,Отлично! Всё супер.,2026-01-06
4,225,877,5,Отлично! Всё супер.,2025-08-12
5,398,490,4,"Хороший товар, рекомендую.",2024-11-19
6,178,769,5,Отлично! Всё супер.,2024-09-12
7,128,921,5,Отлично! Всё супер.,2025-03-25
8,89,285,5,Отлично! Всё супер.,2025-12-24
9,108,58,5,Отлично! Всё супер.,2026-03-05
10,463,178,2,Качество не очень.,2026-02-11
11,377,596,5,Отлично! Всё супер.,2024-09-27
12,133,836,5,Отлично! Всё супер.,2024-07-06
13,121,30,4,"Хороший товар, рекомендую.",2024-12-08
14,367,940,4,"Хороший товар, рекомендую.",2025-12-03
15,68,48,5,Отлично! Всё супер.,2025-05-16
16,152,470,3,"Нормально, сойдет.",2025-10-26
17,498,819,2,Качество не очень.,2026-01-23
18,380,817,5,Отлично! Всё супер.,2025-05-27
19,395,17,5,Отлично! Всё супер.,2024-09-05
20,368,167,2,Качество не очень.,2024-06-25
21,339,817,5,Отлично! Всё супер.,2025-07-01
22,27,903,3,"Нормально, сойдет.",2026-03-20
23,225,834,4,"Хороший товар, рекомендую.",2024-07-05
24,212,939,5,Отлично! Всё супер.,2025-01-04
25,339,905,5,Отлично! Всё супер.,2025-01-10
26,374,795,5,Отлично! Всё супер.,2025-09-08
27,426,940,5,Отлично! Всё супер.,2025-04-03
28,326,708,4,"Хороший товар, рекомендую.",2025-01-28
29,423,267,4,"Хороший товар, рекомендую.",2026-03-13
30,319,806,4,"Хороший товар, рекомендую.",2024-08-13
31,480,883,5,Отлично! Всё супер.,2024-07-25
32,136,52,3,"Нормально, сойдет.",2025-01-11
33,328,555,4,"Хороший товар, рекомендую.",2026-04-03
34,447,943,4,"Хороший товар, рекомендую.",2025-09-25
35,404,694,4,"Хороший товар, рекомендую.",2025-04-03
36,76,348,4,"Хороший товар, рекомендую.",2025-06-28
37,477,66,5,Отлично! Всё супер.,2024-06-23
38,163,614,3,"Нормально, сойдет.",2026-04-10
39,490,599,1,"Ужасно, пришло сломанным.",2025-04-02
40,176,395,5,Отлично! Всё супер.,2025-04-03
41,274,289,4,"Хороший товар, рекомендую.",2025-05-19
42,469,520,5,Отлично! Всё супер.,2024-07-13
43,76,970,5,Отлично! Всё супер.,2024-11-30
44,128,643,4,"Хороший товар, рекомендую.",2024-11-15
45,294,788,3,"Нормально, сойдет.",2025-03-30
46,407,191,5,Отлично! Всё супер.,2024-10-30
47,44,89,2,Качество не очень.,2025-11-03
48,62,544,5,Отлично! Всё супер.,2025-05-09
49,263,43,4,"Хороший товар, рекомендую.",2025-07-27
50,178,705,4,"Хороший товар, рекомендую.",2024-07-19
51,414,941,5,Отлично! Всё супер.,2025-11-03
52,26,686,5,Отлично! Всё супер.,2025-02-01
53,500,921,5,Отлично! Всё супер.,2024-07-03
54,438,51,2,Качество не очень.,2025-08-03
