history_id,employee_id,change_date,new_salary
1,1,2009-06-19,71333
2,1,2024-01-13,76421
3,2,2023-10-07,34948
4,2,2025-03-31,52156
5,3,2015-03-05,74671
6,4,2025-04-07,33961
7,4,2025-08-11,54458
8,4,2026-02-13,89615
9,5,2019-06-07,93334
10,5,2020-08-05,110808
11,5,2022-03-31,115674
12,6,2004-10-14,30866
13,6,2019-05-09,32061
14,6,2023-10-02,141327
15,7,2016-07-23,30776
16,7,2017-07-20,56957
17,7,2023-08-21,89823
18,8,2022-03-31,88520
19,9,1986-03-13,67576
20,9,2008-04-10,100220
21,9,2025-11-27,119840
22,10,2024-05-11,100589
23,11,2024-05-23,53496
24,11,2025-04-10,86436
25,11,2025-06-20,118346
26,11,2026-01-28,129733
27,12,2020-11-21,147715
28,13,2013-08-05,48675
29,14,2000-05-22,67869
30,15,2019-02-26,74718
31,16,2012-11-15,47519
32,16,2020-07-10,53228
33,16,2025-09-14,74438
34,17,2018-11-07,35178
35,17,2022-08-11,54448
36,17,2023-06-08,68746
37,18,2019-12-22,37969
38,18,2021-02-23,45040
39,18,2021-05-25,48513
40,18,2022-05-08,52847
41,18,2022-07-06,54371
42,19,2013-10-26,32641
43,19,2022-03-14,48326
44,20,2010-06-18,32076
45,20,2016-03-17,72591
46,20,2022-06-22,72953
47,21,2018-12-20,138419
48,22,2009-03-07,66221
49,22,2020-08-27,78469
50,23,1993-06-24,31238
51,23,2018-09-07,105612
52,24,2018-05-31,40837
53,24,2024-02-08,95517
54,24,2026-01-03,123748
55,25,1994-09-27,73420
56,25,2004-04-01,114529
57,25,2013-02-26,132809
58,25,2016-03-31,142056
59,26,1996-12-29,33124
60,26,2008-07-18,47306
61,26,2021-12-06,54662
62,27,2017-03-22,36927
63,27,2022-02-13,37528
64,27,2022-08-14,38883
65,27,2023-05-30,45581
66,27,2024-05-25,47592
67,28,2024-02-22,135932
68,29,2025-03-10,56828
69,30,2022-09-27,34312
70,30,2023-04-15,53508
71,30,2023-06-30,101176
72,30,2024-01-13,103860
73,30,2024-11-14,109163
74,31,1998-08-18,32052
75,31,2001-06-14,57152
76,31,2002-08-31,71220
77,31,2019-07-14,106943
78,31,2026-04-09,133447
79,32,2025-04-26,107839
80,33,2021-10-11,35042
81,33,2021-12-28,56102
82,33,2024-08-08,83798
83,33,2025-06-02,84313
84,34,2008-03-07,66959
85,34,2012-10-23,68864
86,35,2010-01-11,42751
87,35,2025-11-22,48834
88,36,2023-10-22,51740
89,36,2023-10-31,65426
90,36,2023-12-22,71195
91,37,2026-04-22,54239
92,37,2026-04-24,57342
93,38,1989-10-26,64957
94,39,2004-09-16,35139
95,39,2010-01-05,62819
96,39,2012-07-09,77458
97,39,2015-02-24,78854
98,39,2017-05-20,95519
99,40,2024-02-07,31759
100,40,2024-05-30,33200
101,40,2024-08-28,37606
102,40,2025-02-01,44322
103,40,2025-02-08,47944
104,41,2000-06-18,51389
105,41,2004-05-26,52321
106,41,2011-07-22,55998
107,41,2022-04-30,65112
108,42,2019-09-23,64050
109,43,2010-06-02,89054
110,43,2025-03-11,145909
111,44,2016-08-09,41659
112,44,2022-01-02,52224
113,45,2025-06-11,54603
114,45,2025-07-07,58301
115,45,2025-08-30,68016
116,46,2010-03-15,40282
117,47,2023-08-31,35616
118,47,2023-09-08,54908
119,47,2025-01-15,95444
120,48,2008-11-29,38075
121,48,2020-06-23,39678
122,48,2025-04-05,47665
123,49,1992-11-27,40752
124,49,1994-01-20,65123
125,49,2010-08-29,116569
126,50,2023-04-10,47455
127,51,2022-01-04,35055
128,51,2023-09-30,42767
129,51,2025-08-18,48907
130,52,1998-02-23,43965
131,52,2017-01-18,115880
132,53,2013-12-25,114085
133,54,2000-02-06,36699
134,54,2003-07-07,47679
135,54,2006-04-18,53587
136,54,2023-04-21,59146
137,54,2025-03-19,71285
138,55,2025-07-05,81441
139,56,2019-12-11,53104
140,57,2022-12-16,48177
141,57,2024-03-01,57361
142,58,1993-02-18,31721
143,58,2002-10-22,36769
144,58,2003-06-14,77353
145,59,2017-02-10,120173
146,60,2025-07-22,108240
147,60,2026-02-08,108386
148,60,2026-02-10,126951
149,61,2010-02-06,30404
150,61,2016-08-13,42623
151,61,2020-08-05,55129
152,62,2025-01-29,55414
153,62,2025-11-24,76930
154,63,2020-06-10,61816
155,63,2025-06-05,103339
156,63,2025-09-18,106244
157,64,2024-03-22,52227
158,64,2024-10-31,119825
159,64,2026-04-23,123136
160,65,1996-03-04,39099
161,65,2013-03-03,83719
162,66,2025-12-04,65180
163,66,2026-05-18,137154
164,67,2019-01-16,31036
165,67,2024-11-29,41267
166,68,2019-08-08,44722
167,69,2020-02-06,39822
168,69,2021-12-26,56704
169,70,2025-10-14,35041
170,70,2026-03-27,67535
171,71,2024-09-30,91880
172,71,2025-09-13,93264
173,72,2006-04-16,111924
174,72,2021-04-18,144842
175,73,2017-05-07,110828
176,73,2022-04-29,136542
177,74,2025-04-19,74970
178,75,2003-12-08,45075
179,76,2007-09-02,55932
180,76,2021-09-24,80001
181,77,2008-10-26,70644
182,77,2013-11-29,83025
183,78,2026-01-27,73193
184,78,2026-01-28,124080
185,79,2024-01-04,37055
186,79,2024-07-23,43617
187,80,1994-05-22,47842
188,80,2006-11-07,107908
189,80,2011-12-03,115332
190,80,2023-03-04,116099
191,81,2021-12-27,69532
192,81,2023-06-01,85309
193,82,2011-11-22,41641
194,82,2013-01-27,43163
195,82,2015-06-13,50590
196,82,2016-10-15,61392
197,82,2018-03-01,90488
198,83,1997-11-21,68200
199,83,2005-04-27,71830
200,83,2015-10-12,94357
201,83,2025-04-16,105481
202,83,2025-07-27,108146
203,84,2007-10-20,72714
204,84,2013-09-06,79290
205,84,2026-04-15,121678
206,85,2026-02-25,81502
207,85,2026-03-17,106469
208,86,2022-04-08,103905
209,86,2025-05-26,131384
210,87,2023-10-20,127153
211,88,2023-01-27,33527
212,88,2023-05-04,53583
213,88,2023-08-11,90505
214,88,2023-08-22,102102
215,88,2023-11-18,114593
216,89,2015-04-29,43739
217,89,2017-10-04,49092
218,89,2018-09-23,58734
219,89,2025-08-23,75405
220,89,2026-04-19,77606
221,90,2025-05-15,125813
222,91,2023-07-30,48242
223,91,2023-08-10,83627
224,91,2024-11-14,95444
225,91,2026-03-29,107000
226,92,1992-11-05,45861
227,92,1995-12-30,46559
228,92,2014-01-29,77196
229,93,2003-11-07,54706
230,93,2005-11-09,57730
231,93,2016-09-06,69444
232,94,2026-04-25,102277
233,95,2024-06-22,82534
234,95,2024-06-28,92814
235,95,2024-08-30,100040
236,95,2026-01-16,106315
237,95,2026-05-10,134155
238,96,2019-01-29,84827
239,96,2021-02-27,120663
240,96,2023-07-01,125990
241,97,2000-10-06,53562
242,97,2009-09-09,65186
243,97,2014-11-24,68683
244,98,2023-10-06,32784
245,98,2024-06-10,33583
246,98,2025-11-04,46582
247,99,2024-01-24,51548
248,99,2024-12-05,51780
249,99,2026-05-31,57477
250,100,2011-08-28,72401
251,100,2019-07-15,81588
252,101,2018-09-20,103822
253,101,2018-12-04,114545
254,101,2021-08-26,148864
255,102,2021-03-23,51731
256,102,2022-08-17,56189
257,102,2025-10-02,73972
258,103,1993-06-05,31382
259,103,2007-03-05,42924
260,103,2009-06-22,43886
261,103,2011-01-27,86420
262,103,2019-07-10,103517
263,104,2022-01-24,63467
264,104,2022-10-21,70735
265,105,2019-09-17,48284
266,105,2023-08-03,49022
267,105,2025-05-14,58136
268,106,2011-10-30,37242
269,106,2014-11-02,44607
270,106,2025-03-19,48418
271,107,2009-02-14,60347
272,107,2015-04-09,94496
273,108,2023-09-19,107147
274,108,2025-03-15,120496
275,108,2025-10-03,140898
276,109,2002-07-09,33219
277,109,2013-06-08,75215
278,109,2018-04-25,102518
279,110,2013-01-09,68722
280,110,2017-06-14,149540
281,111,1996-02-26,35626
282,111,2021-07-25,68906
283,112,2025-04-05,43804
284,113,2024-03-20,48569
285,113,2024-10-16,70880
286,113,2025-05-06,74966
287,113,2025-10-05,75656
288,113,2026-04-10,101261
289,114,1980-09-16,43557
290,114,2006-06-29,91645
291,115,2003-01-28,75652
292,115,2008-05-04,92411
293,115,2022-07-05,100515
294,116,2020-12-09,67742
295,117,1976-01-09,71800
296,117,1978-03-31,89303
297,117,1998-03-02,138567
298,118,2023-12-30,42540
299,119,1997-08-16,125215
300,120,2025-12-05,31480
301,120,2026-01-01,52483
302,120,2026-04-04,72411
303,121,2016-07-08,40771
304,121,2018-01-19,45985
305,121,2025-03-17,71266
306,122,1992-09-18,40494
307,122,2019-02-06,66169
308,122,2020-07-02,68569
309,123,2022-09-21,85885
310,123,2026-05-11,119415
311,124,2000-04-14,36044
312,124,2013-04-18,37597
313,124,2015-09-19,43272
314,124,2023-01-27,50635
315,124,2025-07-12,54168
316,125,2026-05-20,91990
317,126,2011-07-22,33826
318,126,2020-12-22,81849
319,126,2022-09-28,131382
320,127,2022-07-21,55863
321,127,2023-07-30,88926
322,127,2025-08-27,144363
323,128,1998-09-29,30145
324,128,2002-03-22,42741
325,128,2012-02-05,49038
326,129,2026-04-20,36743
327,129,2026-04-25,39120
328,129,2026-05-07,53833
329,130,2023-12-19,38200
330,130,2024-06-23,43336
331,130,2025-10-31,97080
332,131,2013-07-17,54505
333,131,2021-07-07,100371
334,131,2024-07-09,145932
335,132,2014-04-18,42915
336,132,2017-04-12,82245
337,133,2016-04-25,64387
338,133,2017-05-23,99087
339,134,2025-10-06,94157
340,134,2025-12-28,99168
341,134,2026-04-01,127580
342,135,2015-01-28,37486
343,135,2018-06-13,50539
344,135,2018-10-09,55469
345,135,2022-08-11,55725
346,135,2024-09-04,63834
347,136,2011-01-16,60006
348,136,2022-03-11,76655
349,137,2016-07-19,39746
350,137,2017-01-16,50135
351,137,2019-09-18,51221
352,138,2017-01-09,47556
353,138,2020-02-12,118094
354,138,2022-07-26,139374
355,139,2026-01-25,61270
356,139,2026-02-27,143931
357,140,2020-04-17,53992
358,140,2021-08-12,130673
359,141,1989-08-17,48528
360,141,2004-03-12,102031
361,142,1997-04-27,57409
362,142,2011-05-03,69087
363,142,2022-07-13,86112
364,143,2017-03-04,55814
365,144,2022-06-21,42173
366,144,2026-03-21,65105
367,145,2025-07-14,100435
368,145,2025-09-18,139641
369,146,2023-05-25,41353
370,146,2023-10-28,66366
371,146,2025-03-18,69816
372,147,2000-02-29,56591
373,148,2001-12-03,42261
374,148,2013-01-17,78290
375,149,2025-01-11,37389
376,149,2026-06-05,41607
377,150,2020-11-27,30628
378,150,2021-07-19,53529
379,150,2025-11-19,64164
380,151,2014-11-20,55575
381,151,2025-10-12,147756
382,152,2023-05-08,96248
383,152,2024-05-09,103607
384,152,2024-08-21,115599
385,152,2025-09-13,122502
386,153,2013-07-02,46112
387,153,2022-11-13,51164
388,154,1998-03-04,88176
389,154,2003-01-24,118135
390,155,2014-10-19,40835
391,155,2018-10-27,98028
392,156,2022-06-22,58905
393,156,2023-03-07,68284
394,156,2026-04-14,114531
395,157,2021-08-09,121987
396,158,2021-09-04,48918
397,158,2024-06-10,71439
398,159,2023-06-20,93545
399,160,2023-06-30,42165
400,160,2026-04-09,44278
401,161,2023-08-18,46230
402,161,2024-08-31,48013
403,161,2025-03-04,49329
404,162,1980-02-26,44969
405,162,2016-11-28,65112
406,162,2019-06-17,95723
407,163,2017-04-01,78085
408,163,2020-09-14,137909
409,163,2022-09-11,148348
410,164,2016-04-02,35453
411,164,2021-06-29,87850
412,164,2025-09-16,117993
413,165,2023-03-12,43423
414,165,2024-04-29,85725
415,165,2024-12-20,131715
416,166,1989-12-15,62444
417,166,1998-04-08,69021
418,166,2023-03-28,104722
419,167,2024-07-18,34224
420,167,2025-07-12,64447
421,167,2025-11-30,88947
422,167,2026-01-31,136276
423,168,2019-01-29,35700
424,168,2025-05-07,70005
425,169,2021-09-19,31923
426,169,2025-11-29,45273
427,170,2017-06-22,43754
428,170,2020-03-21,45528
429,170,2021-03-12,63788
430,171,2017-06-26,51755
431,171,2021-09-08,75957
432,171,2022-06-01,86120
433,171,2024-03-03,101605
434,172,2018-08-06,36770
435,172,2018-10-05,55717
436,172,2023-06-15,61079
437,173,2014-01-05,37780
438,173,2018-05-01,75982
439,173,2018-06-15,104720
440,173,2019-09-02,126846
441,174,2024-09-12,52069
442,174,2025-12-04,72421
443,174,2026-06-03,99614
444,175,2000-05-15,65041
445,175,2017-04-26,67923
446,175,2021-03-01,68356
447,175,2024-09-17,105069
448,175,2025-01-14,141259
449,176,1991-07-06,42481
450,176,1999-06-09,47771
451,176,2003-10-16,83948
452,176,2021-05-15,97425
453,176,2021-11-30,100552
454,177,2026-05-03,46631
455,177,2026-05-03,47392
456,177,2026-05-11,66349
457,177,2026-05-12,115969
458,177,2026-05-30,121609
459,178,2022-07-13,51108
460,178,2024-05-26,75003
461,179,2007-11-23,42868
462,179,2009-10-11,52158
463,179,2010-04-09,54951
464,179,2013-05-29,55915
465,180,1987-05-11,105684
466,180,2009-11-20,133032
467,181,2025-05-05,57146
468,181,2025-11-12,71144
469,181,2026-05-03,93476
470,182,2018-04-10,32474
471,182,2024-09-25,55396
472,183,2026-01-22,42202
473,183,2026-04-28,130779
474,183,2026-05-04,132459
475,184,2016-07-28,48233
476,184,2018-06-27,71946
477,185,2021-03-27,78374
478,185,2023-01-21,89597
479,185,2025-05-28,118561
480,186,2024-05-24,30162
481,186,2025-02-01,51449
482,186,2025-11-24,68139
483,186,2026-02-17,80733
484,186,2026-04-19,84548
485,187,2022-02-16,42208
486,187,2023-03-28,90089
487,187,2023-04-21,125804
488,187,2024-03-12,149769
489,188,2012-05-05,38300
490,188,2012-10-26,76952
491,188,2014-11-18,103483
492,189,2016-12-02,58551
493,189,2018-08-06,82129
494,189,2019-03-19,99682
495,190,2010-12-15,43883
496,190,2017-02-24,47598
497,190,2017-09-16,62421
498,190,2023-05-12,84057
499,190,2024-06-12,90196
500,191,2018-06-22,48585
